Age,Gender,MaritalStatus,Education,Occupation,MonthlyIncomeINR,City,Organization,EventsAttendedAnnually,VisitReason,FirstVisit,EventDiscovery,RegistrationMode,PreferredEventType,HoursSpent,TravelDistance,AttendingWith,ParticipationFrequency,SpendPerVisitINR,PremiumSeatingInterest,BundlePreference,NetworkingInterest,FoodPreferences,MaxFoodSpendINR,SponsorOrExhibitorInterest,CoWorkingInterest,PostEventPartyInterest,Importance_Parking,Importance_Restrooms,Importance_Accessibility,Importance_WiFi,Importance_Signage,Importance_Security,Importance_Seating Comfort,Importance_Cleanliness,Experience_Mobile App,Experience_Digital Ticketing,Experience_Interactive Screens,Experience_Live Streaming,OverallCleanlinessRating,StaffHelpful,NavigationEasy,UsedCloakRoom,UseMobileApp,UsedPublicTransport,SocialMediaPostIntent,ReadReviews,LivePollParticipation,SharePreferencesForPersonalization,NewsletterSubscription,RecommendJioWorldCentre,OverallSatisfaction,ChallengesFaced,MainConcern,RegPaymentIssue,SustainabilityImportance,Suggestions,AdditionalFacilities,ContactConsent,Email
41,Female,Single,Graduate,Corporate,107586,Hyderabad,Startup,4,Meeting,Yes,Social Media,Through organization,Industry,3.4,Within city,Friends,Annually,4290,Yes,None,Yes,Gluten-free,1013,No,No,Maybe,5,4,5,3,3,2,5,2,3,3,5,2,4,Yes,Yes,Yes,Yes,Sometimes,Yes,Never,No,Maybe,No,6.0,5.0,"Accessibility,Parking,Food Quality",Crowds,Somewhat,3,,,No,
39,Female,Married,Postgraduate,Artist,44637,Mumbai,Startup,1,Banquet,No,Corporate,Online,Academic,3.7,Within city,Friends,Quarterly,11480,No,Event + Food,Yes,Gluten-free,856,No,Yes,Yes,5,5,5,3,5,5,5,5,3,2,2,3,3,Yes,Yes,Yes,Maybe,Yes,Maybe,Sometimes,No,Maybe,No,8.0,7.0,"Seating,Accessibility",Crowds,No,2,,,No,
37,Male,Single,Postgraduate,Artist,158472,Bangalore,Startup,3,Conference,No,Ad,Through organization,Academic,4.9,Outstation,Alone,Quarterly,4176,No,Event + Food,No,Asian,995,No,No,Yes,3,5,3,5,4,4,5,4,2,5,4,5,4,Somewhat,Yes,Yes,No,No,No,Sometimes,Yes,No,No,10.0,6.0,"Parking,Waiting Time,Food Quality",Safety,No,5,,,No,
61,Male,Married,PhD,Other,85376,Ahmedabad,Infosys,10,Exhibition,No,Ad,Through organization,Art & Culture,5.2,Within city,Friends,Annually,9565,No,Event + Food,Yes,Vegan,794,No,No,Maybe,5,5,5,5,3,4,5,4,3,5,2,5,3,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,8.0,6.0,Food Quality,Pricing,Yes,5,,,Yes,
44,Male,Single,Graduate,Entrepreneur,178837,Delhi,Not Disclosed,2,Conference,Yes,Word of Mouth,Online,Entertainment,6.1,Outstation,Family,Rarely,3123,No,Event + Food,Yes,"No preference,Asian",4136,Yes,No,No,5,4,5,4,4,4,4,4,4,3,5,4,5,Yes,Yes,No,Yes,No,No,Sometimes,Yes,No,Yes,7.0,5.0,"Signage,Parking",Pricing,No,3,,,No,
27,Female,Married,Postgraduate,Other,115191,Mumbai,Other,5,Exhibition,Yes,Ad,Online,Family,2.9,Outstation,Alone,Annually,4796,No,Event + Food,No,"Asian,Continental",1118,No,No,Yes,4,3,5,3,5,5,2,4,1,3,4,3,4,Yes,Yes,No,Maybe,No,Yes,Sometimes,No,Yes,No,8.0,6.0,Seating,Crowds,No,3,,,No,
30,Male,Single,Postgraduate,Other,105859,Delhi,Reliance,2,Conference,No,Corporate,Online,Industry,5.4,Within city,Family,Quarterly,4304,No,Event + Food,Yes,Asian,1221,No,Yes,Maybe,3,4,4,4,4,3,3,5,5,4,3,2,4,No,Yes,No,Yes,No,Maybe,Never,No,Yes,No,9.0,10.0,"Food Quality,Parking,Waiting Time",Facilities,No,3,,,No,
39,Male,Married,Postgraduate,Corporate,59606,Pune,Not Disclosed,4,Performance,Yes,Social Media,Online,Academic,4.5,Within city,Friends,Annually,9089,No,None,Yes,"Gluten-free,No preference,Vegan",1115,No,Maybe,Yes,2,5,5,3,3,3,3,5,3,3,4,4,5,Yes,Yes,No,Yes,No,No,Always,Yes,No,No,8.0,6.0,"Seating,Parking",Safety,Somewhat,3,,,Yes,
28,Male,Married,Graduate,Entrepreneur,145970,Bangalore,Other,5,Conference,Yes,Email,Online,Art & Culture,4.7,Within city,Other,Rarely,5612,No,None,No,"Vegan,Indian",852,No,No,No,4,5,4,4,3,4,5,4,5,2,3,2,4,Yes,Yes,No,Yes,No,Yes,Always,Yes,Maybe,No,6.0,9.0,"Food Quality,Other",Crowds,No,3,,,No,user45@mail.com
40,Female,Married,Graduate,Student,129225,Hyderabad,Not Disclosed,3,Conference,Yes,Email,Online,Entertainment,3.9,International,Colleagues,Annually,6006,Yes,Parking,No,"Continental,No preference,Indian",705,No,No,No,5,4,5,5,4,4,4,3,3,3,4,2,4,Somewhat,Yes,Yes,Yes,No,Yes,Sometimes,Yes,No,Yes,10.0,7.0,"Accessibility,Tech Issues",Pricing,No,1,,,No,
